type,cycle,v1,v2,v7,v16,v17,v18,v21,v22,v23,v24,v25,v46,v47,v52,v53,v99
F01,1,1.255056254,1.255642064,1.245189158,1.24132932,1.241273626,1.239956538,1.238900757,1.238769404,1.238183467,1.237154007,1.239100138,1.254675929,1.256320699,1.263286209,1.263748423,1.260520681
F01,2,1.252953847,1.255795161,1.260737101,1.251769765,1.252281443,1.254430135,1.261996969,1.262363307,1.264298757,1.26668396,1.267603683,1.261933645,1.261811447,1.257226563,1.258806356,1.266847738
F01,3,1.248266983,1.250568644,1.242791621,1.243312581,1.242650986,1.242278417,1.238514328,1.237395096,1.236665471,1.235523097,1.235691579,1.234519958,1.248668798,1.217859014,1.209567134,1.246850967
F01,4,1.230106608,1.227925364,1.226228078,1.237359619,1.239013672,1.240842311,1.244122569,1.247212728,1.250577927,1.252768326,1.254921722,1.262517929,1.261927414,1.242882792,1.232654063,1.240856298
F01,5,1.222677358,1.222672653,1.224472046,1.226656342,1.227220535,1.227667236,1.22996432,1.231426748,1.232912191,1.232272212,1.23166008,1.226673253,1.228398387,1.224317424,1.223325094,1.228322728
F01,6,1.247212728,1.252000046,1.265383911,1.263824081,1.262616857,1.260701497,1.251981608,1.252533468,1.252558136,1.25464503,1.255824534,1.250966009,1.253406779,1.252760696,1.253644816,1.239828237
F01,7,1.225266647,1.224226252,1.224858475,1.223923238,1.225234095,1.226478577,1.230780538,1.230299759,1.229512914,1.232079061,1.233106995,1.275544612,1.267006938,1.252162425,1.249427795,1.212439346
F01,8,1.194725672,1.192971166,1.195041021,1.193204625,1.19076678,1.190244293,1.19625295,1.202329636,1.209966024,1.216093699,1.218605677,1.249707667,1.249100113,1.23803978,1.23886528,1.226724243
F01,9,1.211303202,1.209540939,1.200126775,1.208992132,1.210425059,1.210888799,1.212232208,1.214863205,1.217242177,1.219449615,1.220486832,1.242009481,1.235968399,1.250270335,1.253570684,1.228659693
F01,10,1.243870544,1.240636698,1.229933421,1.206225077,1.208588664,1.205180105,1.185413615,1.192292531,1.195130666,1.188347626,1.189474487,1.210559591,1.217018,1.199896495,1.210290655,1.217212804
