type,cycle,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123
F01,1,1.255056254,1.255642064,1.255487442,1.253420766,1.250732549,1.247413635,1.245189158,1.243303299,1.242221196,1.241670863,1.240406418,1.239174398,1.239631907,1.239706167,1.240604273,1.24132932,1.241273626,1.239956538,1.239222336,1.238792547,1.238900757,1.238769404,1.238183467,1.237154007,1.239100138,1.242943064,1.244955826,1.246334712,1.246764374,1.247585169,1.247701136,1.247174072,1.248848216,1.249186707,1.248990377,1.247311656,1.248922348,1.251111221,1.25157814,1.253678894,1.255085627,1.255428696,1.257016373,1.254988225,1.254148865,1.254675929,1.256320699,1.259438578,1.262811661,1.264932505,1.264136378,1.263286209,1.263748423,1.264357376,1.264340464,1.263491821,1.26068306,1.257701111,1.25553538,1.255374654,1.256472143,1.256922023,1.256733449,1.254615657,1.253771591,1.253601583,1.253453191,1.253185781,1.253952535,1.255887858,1.256707128,1.256329981,1.256196976,1.255348333,1.253748449,1.253790156,1.253205872,1.252582932,1.251944478,1.252173233,1.252913666,1.253714371,1.255087153,1.256840134,1.257880402,1.259274801,1.259525172,1.260840734,1.261692429,1.262630717,1.263825734,1.263753001,1.262808482,1.262133026,1.26071701,1.259747823,1.259888458,1.259693654,1.260520681,1.261409505,1.26321195,1.264785639,1.265711594,1.269381332,1.270766449,1.271316783,1.270879237,1.27029953,1.268605423,1.261842346,1.25465889,1.253510412,1.256172307,1.257860311,1.265751775,1.274479548,1.28242658,1.283261363,1.277665456,1.271151352,1.263706589,1.268149312,1.265708542
F01,2,1.252953847,1.255795161,1.256863276,1.257118352,1.259296417,1.260601044,1.260737101,1.260613505,1.257668686,1.254872259,1.253003311,1.253153229,1.25280393,1.251653798,1.251319885,1.251769765,1.252281443,1.254430135,1.257500203,1.259936396,1.261996969,1.262363307,1.264298757,1.26668396,1.267603683,1.267509333,1.268144735,1.268124644,1.267101288,1.265113322,1.263669586,1.261562602,1.259135691,1.257933044,1.255136617,1.255345281,1.255898666,1.257263692,1.257200241,1.256803004,1.257249705,1.257766088,1.258668772,1.259367498,1.261171468,1.261933645,1.261811447,1.260910288,1.259457143,1.258619308,1.257552719,1.257226563,1.258806356,1.26189181,1.264309565,1.266725667,1.268135452,1.270686086,1.272808456,1.273497899,1.272820791,1.270944214,1.268121465,1.265558497,1.262253571,1.258965556,1.257568232,1.255646769,1.255345281,1.254359055,1.255210749,1.257391993,1.259089279,1.259447861,1.258452352,1.257830938,1.256453578,1.255489095,1.25507164,1.25470988,1.255581792,1.256048584,1.256013107,1.256577301,1.256430435,1.256008403,1.256200155,1.256534068,1.25648613,1.255875524,1.257331721,1.258506521,1.258988825,1.261233266,1.26255188,1.262915166,1.264491908,1.266917292,1.266847738,1.264708328,1.263004812,1.26230456,1.2599425,1.256374741,1.255056254,1.255193837,1.25475324,1.255642064,1.253708267,1.255540085,1.25568072,1.254516729,1.253303274,1.251619848,1.249820455,1.248787816,1.250043106,1.251112747,1.252525711,1.253856659,1.254017385,1.25450592,1.255400976
F01,3,1.248266983,1.250568644,1.251632182,1.251205571,1.249328868,1.246427409,1.242791621,1.241527176,1.24066302,1.241151555,1.240780512,1.241350937,1.241293716,1.241604487,1.242578252,1.243312581,1.242650986,1.242278417,1.242208862,1.240318298,1.238514328,1.237395096,1.236665471,1.235523097,1.235691579,1.236795298,1.23707517,1.23651708,1.236773682,1.236405818,1.236262004,1.235816828,1.235282008,1.234759521,1.235921987,1.236585108,1.231562678,1.231550344,1.239599482,1.244002024,1.247119904,1.24005394,1.233117803,1.225931295,1.224353027,1.234519958,1.248668798,1.249225362,1.23636411,1.225280507,1.221584447,1.217859014,1.209567134,1.211004766,1.222655741,1.227208201,1.222892253,1.22644755,1.231542587,1.231704966,1.229056931,1.230323029,1.230749639,1.229352188,1.225993093,1.225699361,1.22414271,1.226252874,1.229243978,1.229727809,1.230574926,1.232542801,1.235059357,1.232847341,1.233440908,1.234859975,1.231581243,1.23366038,1.235286585,1.230454381,1.230193075,1.229751078,1.227993393,1.229001363,1.229900996,1.230197779,1.231993993,1.23436381,1.235934321,1.238461812,1.240737152,1.243371328,1.245051575,1.244559987,1.244869232,1.243816503,1.245034663,1.245087179,1.246850967,1.247110621,1.247277578,1.24870135,1.248767726,1.24709053,1.244580078,1.2429245,1.239294942,1.237361145,1.238583883,1.239050674,1.238280869,1.240752665,1.241292191,1.240754191,1.240414174,1.238361231,1.23447965,1.23205897,1.232198079,1.23282725,1.233672841,1.236323929,1.240355428
F01,4,1.230106608,1.227925364,1.224022166,1.226096725,1.225353114,1.226124573,1.226228078,1.227421443,1.229338328,1.22979126,1.229418691,1.228605525,1.229389318,1.23201561,1.234680684,1.237359619,1.239013672,1.240842311,1.24182078,1.243162664,1.244122569,1.247212728,1.250577927,1.252768326,1.254921722,1.256792196,1.258923848,1.259716924,1.258902232,1.259256236,1.259832764,1.260053889,1.25937055,1.257336299,1.256999334,1.254739253,1.252977117,1.253148651,1.254782613,1.258633296,1.262253571,1.263717524,1.262199402,1.262627665,1.263344955,1.262517929,1.261927414,1.262377294,1.260771179,1.258286921,1.252984746,1.242882792,1.232654063,1.248469416,1.248287074,1.242586009,1.248024241,1.245886358,1.246183141,1.242057292,1.237477112,1.235943604,1.236609904,1.23782018,1.237480164,1.23830719,1.237872823,1.234295781,1.235578791,1.236725744,1.235855484,1.235642115,1.236702601,1.237435277,1.23858846,1.239760208,1.240027618,1.239319738,1.238710658,1.239138794,1.238920848,1.237280782,1.237358093,1.238506571,1.240360006,1.244969686,1.247048823,1.248339589,1.247956212,1.248189672,1.246892675,1.247616196,1.248740005,1.248798752,1.246750514,1.245318985,1.243974177,1.242774582,1.240856298,1.238014984,1.235626729,1.234289551,1.233527501,1.233360545,1.233527501,1.234552383,1.2350811,1.234632746,1.236582057,1.236436717,1.236000824,1.238444773,1.240230179,1.241210175,1.241802343,1.243352763,1.243562953,1.242940013,1.241238022,1.239673742,1.240386327,1.239528402,1.238621012
F01,5,1.222677358,1.222672653,1.226309967,1.226945368,1.225609716,1.224722417,1.224472046,1.223345184,1.224331411,1.226093547,1.225880305,1.225521596,1.225731913,1.226156998,1.225320689,1.226656342,1.227220535,1.227667236,1.228740056,1.230704753,1.22996432,1.231426748,1.232912191,1.232272212,1.23166008,1.229117203,1.226476924,1.224184545,1.22287674,1.224870809,1.225077947,1.22493426,1.224226252,1.222923152,1.220510101,1.221230443,1.221938451,1.221253586,1.22226766,1.22293396,1.22483991,1.223713048,1.223595556,1.225040944,1.225843175,1.226673253,1.228398387,1.22735494,1.226093547,1.225833893,1.225466029,1.224317424,1.223325094,1.223355993,1.223754756,1.223615646,1.224382401,1.224654388,1.223798116,1.225071843,1.224102529,1.22544899,1.227226639,1.226003901,1.226450729,1.227743022,1.229288864,1.230531693,1.233852132,1.235574214,1.235428874,1.23412412,1.234216944,1.231949234,1.229475911,1.228786469,1.227738317,1.227308655,1.227636337,1.227240626,1.226053365,1.224113464,1.21899821,1.219281133,1.221559652,1.222989527,1.223734665,1.224926503,1.226490911,1.225666936,1.225625229,1.227285385,1.225067139,1.223706818,1.226118342,1.226237361,1.227390544,1.227455521,1.228322728,1.23000768,1.232723618,1.234652837,1.234325155,1.233680471,1.23205897,1.228534444,1.230570348,1.232641729,1.229908752,1.231732814,1.231561152,1.227076721,1.228638077,1.225280507,1.225023905,1.229078547,1.22984225,1.236487707,1.238812637,1.236925252,1.236107508,1.234442647,1.234632746
F01,6,1.247212728,1.252000046,1.25491244,1.257742818,1.260044607,1.262851842,1.265383911,1.268036524,1.270775731,1.272100449,1.271539307,1.269798787,1.268524933,1.265114848,1.263159434,1.263824081,1.262616857,1.260701497,1.257396571,1.254294078,1.251981608,1.252533468,1.252558136,1.25464503,1.255824534,1.255240122,1.253000259,1.251193237,1.247868093,1.246153768,1.246070353,1.245724106,1.246353149,1.246660868,1.248217519,1.250053914,1.249250031,1.248432287,1.246920522,1.246705627,1.245623525,1.245376205,1.245660655,1.246980794,1.249463399,1.250966009,1.253406779,1.253895315,1.254097748,1.254866028,1.254357529,1.252760696,1.253644816,1.254610952,1.255404027,1.256026967,1.256384023,1.257175573,1.257088979,1.257602183,1.257722727,1.257738241,1.256858699,1.255592601,1.254627991,1.255940374,1.256954447,1.257255936,1.257875824,1.258776983,1.261412684,1.263708242,1.265694555,1.266244888,1.267282104,1.266759618,1.263394419,1.260883967,1.261378606,1.257271322,1.253753026,1.261126709,1.271132787,1.275465775,1.271228663,1.260730871,1.253392919,1.254649607,1.262103653,1.269024277,1.266768901,1.258976364,1.255182902,1.250196075,1.245227814,1.238381322,1.234660594,1.233811951,1.239828237,1.247441483,1.245651372,1.24464976,1.248846563,1.251684697,1.252225749,1.2534331,1.257511012,1.252177811,1.246019363,1.248246892,1.244479624,1.244046783,1.24085935,1.236172358,1.235527802,1.235969925,1.244008128,1.239005915,1.236173884,1.23669637,1.234077835,1.232151667,1.231119029
F01,7,1.225266647,1.224226252,1.224516805,1.223981984,1.224255625,1.224912643,1.224858475,1.224693044,1.224855423,1.224294281,1.223280207,1.221870422,1.22280248,1.225115077,1.225065613,1.223923238,1.225234095,1.226478577,1.227457047,1.229908752,1.230780538,1.230299759,1.229512914,1.232079061,1.233106995,1.232803981,1.234138107,1.234914144,1.23170344,1.22957166,1.230284373,1.230499268,1.228435516,1.226184845,1.228076935,1.235289764,1.23708903,1.239519119,1.244816589,1.242531967,1.234399287,1.237147776,1.252383423,1.268280792,1.276921972,1.275544612,1.267006938,1.260953522,1.259723028,1.254719162,1.251959864,1.252162425,1.249427795,1.243413035,1.236235809,1.229978307,1.222545878,1.217951711,1.21325086,1.209258016,1.21027832,1.209630585,1.210250473,1.209160614,1.208366013,1.205263646,1.203029887,1.200309245,1.198406347,1.198285802,1.197913233,1.197820409,1.195750554,1.193356069,1.192910894,1.190793101,1.187900925,1.184615962,1.195979309,1.199514643,1.196389008,1.195016352,1.191838074,1.189245733,1.188353856,1.187297948,1.18467013,1.1823452,1.185262171,1.186617788,1.189117432,1.191960271,1.197158813,1.202090073,1.200434494,1.203985214,1.204631297,1.204550934,1.212439346,1.208752569,1.20844485,1.219437281,1.224505997,1.226370366,1.221961594,1.219831467,1.219196065,1.22011439,1.234912491,1.228302638,1.222320302,1.221565882,1.218532944,1.21772143,1.217441559,1.218583934,1.219499079,1.219089508,1.222898356,1.222808711,1.222886022,1.228512828,1.228353628
F01,8,1.194725672,1.192971166,1.192088572,1.193093363,1.194926707,1.194798406,1.195041021,1.196180344,1.197418594,1.198933411,1.197713725,1.196616236,1.198585637,1.197647349,1.194784419,1.193204625,1.19076678,1.190244293,1.190545781,1.192567698,1.19625295,1.202329636,1.209966024,1.216093699,1.218605677,1.219981384,1.222383626,1.224504471,1.22659289,1.229420217,1.232117716,1.235527802,1.240056992,1.24528656,1.251224136,1.253873698,1.254844411,1.25393397,1.254425557,1.256098048,1.257241948,1.256982295,1.254917018,1.252443695,1.250474421,1.249707667,1.249100113,1.246087265,1.244971212,1.239740117,1.237730535,1.23803978,1.23886528,1.238823446,1.239400101,1.238738505,1.237154007,1.232708232,1.231414286,1.230687841,1.230053965,1.231091309,1.231650798,1.23223203,1.230842336,1.231488546,1.229546992,1.22605807,1.220423508,1.217908478,1.217934672,1.218927129,1.218744787,1.217761612,1.215928268,1.21472257,1.21334521,1.215804545,1.215311432,1.216492462,1.216670227,1.213702265,1.211963145,1.211839549,1.212011083,1.21411349,1.214108785,1.212453206,1.212935511,1.21332194,1.214601898,1.217636363,1.221957016,1.226861827,1.229891713,1.229956563,1.225546392,1.225164541,1.226724243,1.227457047,1.229506811,1.23046519,1.233043671,1.234060796,1.236167781,1.237238948,1.238069153,1.239123408,1.239669037,1.237664159,1.238512802,1.240607325,1.244640477,1.248933156,1.250086339,1.253474808,1.255501429,1.256323751,1.257886632,1.25731926,1.255516815,1.256220245,1.255951182
F01,9,1.211303202,1.209540939,1.208407847,1.207588577,1.206600698,1.201904551,1.200126775,1.199545542,1.199386342,1.198463567,1.199335353,1.201824188,1.203826014,1.205898921,1.207851283,1.208992132,1.210425059,1.210888799,1.211119207,1.211349487,1.212232208,1.214863205,1.217242177,1.219449615,1.220486832,1.222675832,1.22680308,1.231258265,1.232521184,1.232318624,1.230794525,1.230458959,1.229874674,1.231847127,1.239460373,1.244238536,1.245356115,1.237526576,1.223677444,1.216466141,1.209304428,1.201487096,1.20888087,1.23618482,1.24757754,1.242009481,1.235968399,1.239941152,1.242620087,1.245597331,1.247501755,1.250270335,1.253570684,1.255451965,1.254362106,1.252406693,1.251823934,1.251112747,1.250097148,1.247538884,1.243091456,1.238747787,1.234900157,1.233093135,1.231828562,1.230740356,1.231513214,1.231759008,1.231984711,1.231098938,1.229155858,1.228259277,1.227305476,1.228004201,1.228784943,1.228755569,1.229533005,1.229812876,1.230921173,1.233388392,1.234580231,1.235161463,1.235623678,1.234288025,1.233209101,1.231653976,1.229584122,1.229832967,1.229362996,1.228461838,1.226087443,1.223298772,1.223478063,1.225373205,1.226662445,1.228243891,1.229383087,1.229148102,1.228659693,1.228617986,1.229333623,1.229893239,1.229387792,1.228805033,1.227877426,1.227574539,1.228148015,1.228253174,1.228236135,1.228656642,1.227909978,1.225980759,1.225357819,1.224982198,1.225189336,1.224784342,1.224928029,1.225799942,1.226501719,1.227424622,1.227041245,1.227670288,1.227566783
F01,10,1.243870544,1.240636698,1.239228439,1.2372715,1.234431839,1.232561366,1.229933421,1.226665624,1.221864192,1.217718379,1.221097438,1.226619212,1.226821645,1.219508362,1.20893809,1.206225077,1.208588664,1.205180105,1.192657344,1.184806188,1.185413615,1.192292531,1.195130666,1.188347626,1.189474487,1.188816071,1.188387807,1.19213028,1.199879456,1.204640579,1.202150345,1.198653666,1.197143428,1.201720556,1.204835383,1.204424159,1.20198644,1.203977458,1.208795802,1.208616511,1.209332275,1.208939616,1.207058334,1.203601837,1.205619176,1.210559591,1.217018,1.227330271,1.220780563,1.200983175,1.199731064,1.199896495,1.210290655,1.217695109,1.21175766,1.214383952,1.217107773,1.209571838,1.21332194,1.216251373,1.216004054,1.214584986,1.213683701,1.213621902,1.211572138,1.212419256,1.211330922,1.21304067,1.213386917,1.213465754,1.213697688,1.215595881,1.217815653,1.218089294,1.216898982,1.217232895,1.217005666,1.216110611,1.21575826,1.216387304,1.215742747,1.214455032,1.214241791,1.21306076,1.21132164,1.213830566,1.214013036,1.212845866,1.213682175,1.2152373,1.214430364,1.213117981,1.213201396,1.213754781,1.21354154,1.215725708,1.216531118,1.216328684,1.217212804,1.217625554,1.217959468,1.218413925,1.218103282,1.218328857,1.217387517,1.216764577,1.216293081,1.215450541,1.215121333,1.21329422,1.21182874,1.210575104,1.208019765,1.2060613,1.205535634,1.205246607,1.206013362,1.205115255,1.204688517,1.205124537,1.204812241,1.202308019,1.2006663
