serial,type,cycle,value_min,value_median,value_std_overall,rolling_mean_last15,rolling_std_last15,rolling_slope_last15,delta_from_roll_mean,diff1_mean,diff1_max,diff1_min,diff1_std,diff2_mean,diff2_max,diff2_min,diff2_std,num_peaks,mean_peak_prominence,mean_peak_width,zero_crossing_rate,lag1_autocorr,std_roll_mean15_series,range_roll_mean15_series,std_roll_std15_series,severity_score,severity_weighted_delta,severity_weighted_std,risk_weighted_trend
SN 063,F05,7,2.693849182126667,2.698181406655,0.0028281268078359685,2.7001242234953335,0.0035995694973905003,-0.0007084746586785881,-0.005164964465333544,3.19467741047228e-07,0.005705769856666265,-0.009007517496665951,0.002018528920387085,-1.595815024999873e-05,0.014713287353332216,-0.009896341959998889,0.00342291029168634,34.0,0.0025758930282352107,2.338474614959891,24.0,0.7436510070823622,0.0022750110882953246,0.007588941785777514,0.0005539399670844861,3,-0.020659857861334174,0.00899892374347625,-0.0028338986347143523
SN 020,F02,246,2.81869939168,2.8350442250550003,0.002339267034982281,2.8341906060095554,0.001578609366474028,-9.719303630961739e-06,-0.0005197991262222423,-2.1322371212122493e-05,0.01450602213666663,-0.0157104492200002,0.002950313940404433,-6.942749027782913e-06,0.03021647135666683,-0.015968577066665546,0.004297138581363056,18.0,0.003955742165370301,3.850195535657825,41.0,0.20923931008567084,0.0004996210115298923,0.0019885253913329848,0.0017052487505854611,2,-0.001559397378666727,0.003157218732948056,-2.9157910892885217e-05
SN 004,F01,79,1.1064806620266665,1.1169891993183334,0.004822891038804598,1.1232054816335555,0.0036786048063176474,0.0008000451042857078,0.005120807223110813,0.00017269859628098928,0.003702290853333512,-0.0025553385399998962,0.0011105253676220524,1.2443330527772689e-05,0.003785832719999993,-0.0037687937399999427,0.0015611287122150696,6.0,0.004999711777777731,5.920224430220599,9.0,0.9726452970611489,0.003283634931922314,0.012488123575555399,0.0010545406165570308,1,0.010241614446221625,0.005517907209476472,0.0016000902085714155
SN 041,N01,202,2.57209396362,2.577278645833333,0.0015374213120439542,2.5768547736255556,0.0019820405003453446,9.93265424761921e-05,0.0010451592344442595,-1.6603916528962708e-06,0.00615107218333355,-0.007554372153333322,0.001979072376000385,-2.926720499996094e-06,0.011707814536666472,-0.009309387206667186,0.003108667864663712,29.0,0.0028014259774713193,1.9239995380754424,48.0,0.17678375253825096,0.0004435791527119152,0.001879136828222272,0.0004767715050117014,0,0.0010451592344442595,0.0019820405003453446,9.93265424761921e-05
SN 029,F04,7,2.28262863159,2.295799891153333,0.004585276877088492,2.3003702969006663,0.001044753592988672,0.00019051233917857075,0.0024205356160003078,8.388340636363505e-05,0.0031224568666665675,-0.0033388773600000476,0.0011224353101950326,3.9672851388875925e-06,0.003665161133332706,-0.0033762613933330243,0.0012001409561338647,8.0,0.0039057413737499935,5.139215018099495,9.0,0.9699479629582299,0.0038358276427704545,0.013277910020888406,0.0012778659448851053,2,0.007261606848000923,0.002089507185977344,0.0005715370175357122
SN 045,N02,60,2.915538,2.9692643333333333,0.0318569177612371,3.0235265911111115,0.02102349047194478,0.0041654523809523895,0.01577950888888857,0.0006052399449035803,0.01897966666666706,-0.02523703333333316,0.007863297230598247,-9.401111111110676e-06,0.019682333333333357,-0.023718533333333625,0.007762791542284437,11.0,0.024201487878788053,4.797805903778845,5.0,0.9693867700964701,0.025358087068882585,0.09385226888888942,0.005839231990370049,0,0.01577950888888857,0.02102349047194478,0.0041654523809523895
SN 045,N02,33,3.0910962333333334,3.127912133333333,0.018333958703748696,3.126184606666667,0.01343252187885899,0.0018157351190475962,0.015578159999999563,0.00023832920110192752,0.03728536666666615,-0.019621800000000356,0.010030496701611007,-5.947749999999733e-05,0.04449436666666573,-0.030395533333333002,0.015217102209738499,24.0,0.017404294444444485,2.8685592368597423,17.0,0.8507967285918785,0.012666503987947575,0.04376797333333293,0.004205809433949358,0,0.015578159999999563,0.01343252187885899,0.0018157351190475962
SN 027,F03,100,3.275741577146667,3.295787811278333,0.0050600733615518345,3.2970302157917777,0.004257346449368784,-0.0007830165681071389,-0.01050499810177774,6.497595920110027e-05,0.016143035889999435,-0.005772145589999944,0.0027373203863494677,-1.1246999111110453e-05,0.01906458536999933,-0.013597106936665604,0.003849843475724633,19.0,0.005504742003157876,5.2949390455111285,16.0,0.8464826005866889,0.0036395174426372755,0.012262285020888442,0.001023724869440752,3,-0.04201999240711096,0.01064336612342196,-0.0031320662724285556
SN 045,F06,3,2.1693929,2.8064155333333334,0.4017700668874255,,,,,0.244288375,0.45048013333333303,0.031136300000000006,0.17839126062386598,-0.13978127777777768,0.12245206666666641,-0.2778582666666667,0.22720737490668988,0.0,,,1.0,0.9425091953184613,,,,3,,,
SN 046,N01,304,2.91204579671,2.916554514565,0.0013887105760145091,2.9172126261375553,0.0012514806793945746,-7.629212884522975e-05,-0.000499165854221939,1.815291473829147e-05,0.005642191570000232,-0.0038159688333330166,0.0017868582810050431,-4.47061326666683e-05,0.008500162763332764,-0.007474517823333748,0.0028933591792859453,32.0,0.002358237902291671,1.9613614024102628,57.0,0.1711664217733805,0.0004155074859842417,0.0017971632215556532,0.00035541041975927206,0,-0.000499165854221939,0.0012514806793945746,-7.629212884522975e-05
