type,cycle,value
F01,1,1.255056254
F01,1,1.255642064
F01,1,1.255487442
F01,1,1.253420766
F01,1,1.250732549
F01,1,1.247413635
F01,1,1.245189158
F01,1,1.243303299
F01,1,1.242221196
F01,1,1.241670863
F01,1,1.240406418
F01,1,1.239174398
F01,1,1.239631907
F01,1,1.239706167
F01,1,1.240604273
F01,1,1.24132932
F01,1,1.241273626
F01,1,1.239956538
F01,1,1.239222336
F01,1,1.238792547
F01,1,1.238900757
F01,1,1.238769404
F01,1,1.238183467
F01,1,1.237154007
F01,1,1.239100138
F01,1,1.242943064
F01,1,1.244955826
F01,1,1.246334712
F01,1,1.246764374
F01,1,1.247585169
F01,1,1.247701136
F01,1,1.247174072
F01,1,1.248848216
F01,1,1.249186707
F01,1,1.248990377
F01,1,1.247311656
F01,1,1.248922348
F01,1,1.251111221
F01,1,1.25157814
F01,1,1.253678894
F01,1,1.255085627
F01,1,1.255428696
F01,1,1.257016373
F01,1,1.254988225
F01,1,1.254148865
F01,1,1.254675929
F01,1,1.256320699
F01,1,1.259438578
F01,1,1.262811661
F01,1,1.264932505
F01,1,1.264136378
F01,1,1.263286209
F01,1,1.263748423
F01,1,1.264357376
F01,1,1.264340464
F01,1,1.263491821
F01,1,1.26068306
F01,1,1.257701111
F01,1,1.25553538
F01,1,1.255374654
F01,1,1.256472143
F01,1,1.256922023
F01,1,1.256733449
F01,1,1.254615657
F01,1,1.253771591
F01,1,1.253601583
F01,1,1.253453191
F01,1,1.253185781
F01,1,1.253952535
F01,1,1.255887858
F01,1,1.256707128
F01,1,1.256329981
F01,1,1.256196976
F01,1,1.255348333
F01,1,1.253748449
F01,1,1.253790156
F01,1,1.253205872
F01,1,1.252582932
F01,1,1.251944478
F01,1,1.252173233
F01,1,1.252913666
F01,1,1.253714371
F01,1,1.255087153
F01,1,1.256840134
F01,1,1.257880402
F01,1,1.259274801
F01,1,1.259525172
F01,1,1.260840734
F01,1,1.261692429
F01,1,1.262630717
F01,1,1.263825734
F01,1,1.263753001
F01,1,1.262808482
F01,1,1.262133026
F01,1,1.26071701
F01,1,1.259747823
F01,1,1.259888458
F01,1,1.259693654
F01,1,1.260520681
F01,1,1.261409505
F01,1,1.26321195
F01,1,1.264785639
F01,1,1.265711594
F01,1,1.269381332
F01,1,1.270766449
F01,1,1.271316783
F01,1,1.270879237
F01,1,1.27029953
F01,1,1.268605423
F01,1,1.261842346
F01,1,1.25465889
F01,1,1.253510412
F01,1,1.256172307
F01,1,1.257860311
F01,1,1.265751775
F01,1,1.274479548
F01,1,1.28242658
F01,1,1.283261363
F01,1,1.277665456
F01,1,1.271151352
F01,1,1.263706589
F01,1,1.268149312
F01,1,1.265708542
F01,2,1.252953847
F01,2,1.255795161
F01,2,1.256863276
F01,2,1.257118352
F01,2,1.259296417
F01,2,1.260601044
F01,2,1.260737101
F01,2,1.260613505
F01,2,1.257668686
F01,2,1.254872259
F01,2,1.253003311
F01,2,1.253153229
F01,2,1.25280393
F01,2,1.251653798
F01,2,1.251319885
F01,2,1.251769765
F01,2,1.252281443
F01,2,1.254430135
F01,2,1.257500203
F01,2,1.259936396
F01,2,1.261996969
F01,2,1.262363307
F01,2,1.264298757
F01,2,1.26668396
F01,2,1.267603683
F01,2,1.267509333
F01,2,1.268144735
F01,2,1.268124644
F01,2,1.267101288
F01,2,1.265113322
F01,2,1.263669586
F01,2,1.261562602
F01,2,1.259135691
F01,2,1.257933044
F01,2,1.255136617
F01,2,1.255345281
F01,2,1.255898666
F01,2,1.257263692
F01,2,1.257200241
F01,2,1.256803004
F01,2,1.257249705
F01,2,1.257766088
F01,2,1.258668772
F01,2,1.259367498
F01,2,1.261171468
F01,2,1.261933645
F01,2,1.261811447
F01,2,1.260910288
F01,2,1.259457143
F01,2,1.258619308
F01,2,1.257552719
F01,2,1.257226563
F01,2,1.258806356
F01,2,1.26189181
F01,2,1.264309565
F01,2,1.266725667
F01,2,1.268135452
F01,2,1.270686086
F01,2,1.272808456
