serial,type,cycle,value
SN 001,F01,1,1.2556420644100001
SN 001,F01,1,1.2554874420133333
SN 001,F01,1,1.2534207661933332
SN 001,F01,1,1.25073254903
SN 001,F01,1,1.2474136352533334
SN 001,F01,1,1.2451891581199999
SN 001,F01,1,1.24330329895
SN 001,F01,1,1.24222119649
SN 001,F01,1,1.2416708628333335
SN 001,F01,1,1.2404064178466667
SN 001,F01,1,1.2391743977833334
SN 001,F01,1,1.2396319071433333
SN 001,F01,1,1.2397061665833333
SN 001,F01,1,1.2406042734766667
SN 001,F01,1,1.24132932027
SN 001,F01,1,1.2412736256899999
SN 001,F01,1,1.2399565378800002
SN 001,F01,1,1.2392223358133334
SN 001,F01,1,1.2387925465899998
SN 001,F01,1,1.2389007568333334
SN 001,F01,1,1.2387694040933332
SN 001,F01,1,1.2381834665933333
SN 001,F01,1,1.2371540069566669
SN 001,F01,1,1.2391001383433333
SN 001,F01,1,1.24294306437
SN 001,F01,1,1.2449558258033333
SN 001,F01,1,1.2463347117099999
SN 001,F01,1,1.2467643737766667
SN 001,F01,1,1.2475851694733333
SN 001,F01,1,1.24770113627
SN 001,F01,1,1.2471740722633333
SN 001,F01,1,1.2488482157366667
SN 001,F01,1,1.2491867065400002
SN 001,F01,1,1.2489903767900001
SN 001,F01,1,1.2473116556800001
SN 001,F01,1,1.24892234802
SN 001,F01,1,1.2511112213133333
SN 001,F01,1,1.2515781402566666
SN 001,F01,1,1.25367889404
SN 001,F01,1,1.2550856272366666
SN 001,F01,1,1.2554286956766667
SN 001,F01,1,1.2570163726799999
SN 001,F01,1,1.2549882253
SN 001,F01,1,1.2541488647433332
SN 001,F01,1,1.25467592875
SN 001,F01,1,1.2563206990533333
SN 001,F01,1,1.2594385782866666
SN 001,F01,1,1.2628116607633333
SN 001,F01,1,1.2649325052866667
SN 001,F01,1,1.2641363779700001
SN 001,F01,1,1.2632862091033334
SN 001,F01,1,1.2637484232566665
SN 001,F01,1,1.2643573760966667
SN 001,F01,1,1.2643404642733331
