sn,type,num_cycles,category
SN 001,F01,20,T
SN 002,F01,22,T
SN 003,F01,21,T
SN 004,F01,22,T
SN 005,F01,19,T
SN 006,F01,21,T
SN 007,F01,22,V
SN 007,N01,20,V
SN 008,F01,14,V
SN 009,F02,22,T
SN 010,F02,37,T
SN 011,F02,20,T
SN 011,F03,20,T
SN 011,N01,36,T
SN 012,F02,20,T
SN 013,F02,20,T
SN 014,F02,21,T
SN 015,F02,21,T
SN 016,F02,21,T
SN 017,F02,20,T
SN 018,F02,20,T
SN 019,F02,18,T
SN 020,F02,20,T
SN 020,N01,22,T
SN 021,F02,19,V
SN 022,F02,21,V
SN 023,F02,20,V
SN 024,F03,23,T
SN 025,F03,30,T
SN 026,F03,16,T
SN 027,F03,15,T
SN 028,F03,22,T
SN 028,N01,7,T
SN 029,F03,11,T
SN 029,F04,10,T
SN 030,F04,10,V
SN 030,N01,6,V
SN 030,N02,7,V
SN 031,F04,10,T
SN 031,N01,4,T
SN 032,F04,10,T
SN 032,N01,3,T
SN 033,N01,35,T
SN 034,N01,22,T
SN 035,N01,18,T
SN 036,N01,20,T
SN 037,N01,20,T
SN 038,N01,20,T
SN 039,N01,21,T
SN 040,N01,20,T
SN 041,N01,21,T
SN 042,N01,13,T
SN 043,N01,6,T
SN 044,N01,19,T
SN 045,F06,6,T
SN 045,N02,60,T
SN 046,N01,30,T
SN 047,N01,6,T
SN 048,N01,14,T
SN 049,F05,9,T
SN 049,N01,48,T
SN 050,N01,4,V
SN 051,N01,9,V
SN 052,F06,1,V
SN 052,N01,29,V
SN 053,N01,19,T
SN 054,F06,1,T
SN 054,N01,19,T
SN 055,N01,21,T
SN 056,F06,1,V
SN 056,N01,21,V
SN 057,N01,20,T
SN 058,F03,9,T
SN 059,F03,16,T
SN 060,F03,16,V
SN 061,F03,16,V
SN 062,F03,73,V
SN 063,F05,10,T
SN 063,N01,3,T
SN 064,F05,13,T
SN 064,N01,5,T
SN 065,F05,11,V
SN 065,N01,2,V
